policy_id,user_id,purchase_date,expiry_date,premium,coverage_amount,status
POL000001,1,2023-01-01,2024-01-01,5000,100000,有效
POL000002,2,2023-01-02,2024-01-02,6000,120000,有效
POL000003,3,2023-01-03,2024-01-03,3000,60000,有效
POL000004,4,2023-01-04,2024-01-04,8000,160000,有效
POL000005,5,2023-01-05,2024-01-05,4500,90000,有效
POL000006,6,2023-01-06,2024-01-06,5500,110000,有效
POL000007,7,2023-01-07,2024-01-07,3500,70000,有效
POL000008,8,2023-01-08,2024-01-08,7500,150000,有效
POL000009,9,2023-01-09,2024-01-09,4800,96000,有效
POL000010,10,2023-01-10,2024-01-10,5200,104000,有效